Preliminary Day-ahead Scheduling Reserve Summary
Month:,"March, 2009" ,Report Creation Timestamp (EPT):, 08/03/2012 10:28:28 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
03/05/2009 10,03/05/2009 15,.050,88993.793000,4967.600,248.45,4967.600
03/05/2009 11,03/05/2009 16,.050,86400.055000,4968.400,248.55,4968.400
03/05/2009 12,03/05/2009 17,.050,83974.681000,4918.100,246.05,4918.100
03/05/2009 13,03/05/2009 18,.000,81814.259000,4838.800,.00,4838.800
03/05/2009 14,03/05/2009 19,.000,80014.178000,4879.400,.00,4879.400
03/05/2009 15,03/05/2009 20,.000,78441.565000,4932.700,.00,4932.700
03/05/2009 16,03/05/2009 21,.000,77096.639000,4955.400,.00,4955.400
03/05/2009 17,03/05/2009 22,.000,77176.968000,5075.700,.00,5075.700
03/05/2009 18,03/05/2009 23,.000,79025.326000,5019.900,.00,5019.900
03/05/2009 19,03/06/2009 00,.050,84171.983000,4977.200,249.02,4977.200
03/05/2009 20,03/06/2009 01,.070,86443.548000,4977.000,348.43,4977.000
03/05/2009 21,03/06/2009 02,.050,85246.108000,4977.200,249.00,4977.200
03/05/2009 22,03/06/2009 03,.000,82132.000000,5022.400,.00,5022.400
03/05/2009 23,03/06/2009 04,.000,76793.407000,5100.200,.00,5100.200
03/05/2009 24,03/06/2009 05,.000,71354.961000,5114.200,.00,5114.200
03/06/2009 01,03/06/2009 06,.000,67135.677000,5148.900,.00,5148.900
03/06/2009 02,03/06/2009 07,.000,64950.223000,5161.300,.00,5161.300
03/06/2009 03,03/06/2009 08,.000,63834.029000,5123.400,.00,5123.400
03/06/2009 04,03/06/2009 09,.000,63704.337000,5160.200,.00,5160.200
03/06/2009 05,03/06/2009 10,.000,65043.495000,5159.900,.00,5159.900
03/06/2009 06,03/06/2009 11,.000,69348.583000,5182.900,.00,5182.900
03/06/2009 07,03/06/2009 12,.000,76776.939000,5038.900,.00,5038.900
03/06/2009 08,03/06/2009 13,.050,80168.963000,5163.300,258.25,5163.300
03/06/2009 09,03/06/2009 14,.000,80437.014000,4982.200,.00,4982.200
03/06/2009 10,03/06/2009 15,.000,79797.387000,4959.700,.00,4959.700
03/06/2009 11,03/06/2009 16,.000,79067.443000,4999.300,.00,4999.300
03/06/2009 12,03/06/2009 17,.000,78032.639000,5180.000,.00,5180.000
03/06/2009 13,03/06/2009 18,.000,76583.629000,5143.900,.00,5143.900
03/06/2009 14,03/06/2009 19,.000,75287.436000,5147.800,.00,5147.800
03/06/2009 15,03/06/2009 20,.000,73992.080000,5183.100,.00,5183.100
03/06/2009 16,03/06/2009 21,.000,72528.060000,5135.300,.00,5135.300
03/06/2009 17,03/06/2009 22,.000,72218.330000,5123.600,.00,5123.600
03/06/2009 18,03/06/2009 23,.000,72612.363000,5166.400,.00,5166.400
03/06/2009 19,03/07/2009 00,.000,75897.056000,5165.200,.00,5165.200
03/06/2009 20,03/07/2009 01,.000,76884.009000,5164.100,.00,5164.100
03/06/2009 21,03/07/2009 02,.000,75231.306000,5170.300,.00,5170.300
03/06/2009 22,03/07/2009 03,.000,72292.580000,5171.800,.00,5171.800
03/06/2009 23,03/07/2009 04,.000,68144.944000,5160.200,.00,5160.200
03/06/2009 24,03/07/2009 05,.000,63600.860000,4930.700,.00,4930.700
03/07/2009 01,03/07/2009 06,.000,59520.116000,4299.500,.00,4299.500
03/07/2009 02,03/07/2009 07,.000,57197.481000,4434.600,.00,4434.600
03/07/2009 03,03/07/2009 08,.000,55876.091000,4437.200,.00,4437.200
03/07/2009 04,03/07/2009 09,.000,55262.501000,4435.500,.00,4435.500
03/07/2009 05,03/07/2009 10,.000,55713.065000,4435.400,.00,4435.400
03/07/2009 06,03/07/2009 11,.000,57164.932000,4424.800,.00,4424.800
03/07/2009 07,03/07/2009 12,.000,59638.474000,4329.200,.00,4329.200
03/07/2009 08,03/07/2009 13,.000,62248.995000,4408.600,.00,4408.600
03/07/2009 09,03/07/2009 14,.050,65487.868000,4413.300,220.79,4413.300
03/07/2009 10,03/07/2009 15,.050,67596.288000,4415.600,220.90,4415.600
03/07/2009 11,03/07/2009 16,.050,68666.556000,4415.700,220.86,4415.700
03/07/2009 12,03/07/2009 17,.050,68699.488000,4415.700,220.90,4415.700
03/07/2009 13,03/07/2009 18,.050,67588.900000,4415.500,220.88,4415.500
03/07/2009 14,03/07/2009 19,.030,66400.580000,4406.500,132.22,4406.500
03/07/2009 15,03/07/2009 20,.000,65391.536000,4409.200,.00,4409.200
03/07/2009 16,03/07/2009 21,.000,64868.000000,4410.800,.00,4410.800
03/07/2009 17,03/07/2009 22,.000,65285.954000,4408.200,.00,4408.200
03/07/2009 18,03/07/2009 23,.050,66251.790000,4397.600,219.98,4397.600
03/07/2009 19,03/08/2009 00,.050,69997.273000,4416.000,220.87,4416.000
03/07/2009 20,03/08/2009 01,.050,71203.221000,4415.700,220.90,4415.700
03/07/2009 21,03/08/2009 02,.050,69571.014000,4415.600,220.84,4415.600
03/07/2009 22,03/08/2009 03,.030,67169.700000,4388.800,131.68,4388.800
03/07/2009 23,03/08/2009 04,.000,63513.803000,4419.500,.00,4419.500
03/07/2009 24,03/08/2009 05,.000,59620.846000,4432.300,.00,4432.300
