Preliminary Day-ahead Scheduling Reserve Summary
Month:,"July, 2011" ,Report Creation Timestamp (EPT):, 03/05/2013 11:12:52 AM
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
07/10/2011 07,07/10/2011 11,.000,66463.931000,7282.800,.00,7282.800
07/10/2011 08,07/10/2011 12,.000,70378.469000,7300.600,.00,7300.600
07/10/2011 09,07/10/2011 13,.000,77987.220000,7254.100,.00,7254.100
07/10/2011 10,07/10/2011 14,.000,86355.130000,7190.000,.00,7190.000
07/10/2011 11,07/10/2011 15,.010,94494.578000,7050.400,70.58,7050.400
07/10/2011 12,07/10/2011 16,.020,101503.408000,6831.500,136.66,6831.500
07/10/2011 13,07/10/2011 17,.020,106903.719000,6867.800,137.38,6867.800
07/10/2011 14,07/10/2011 18,.020,110961.915000,6886.900,137.77,6886.900
07/10/2011 15,07/10/2011 19,.040,114281.725000,6889.700,275.55,6889.700
07/10/2011 16,07/10/2011 20,.250,116980.850000,6749.900,1687.58,6749.900
07/10/2011 17,07/10/2011 21,1.000,119451.646000,6680.001,6680.01,6680.001
07/10/2011 18,07/10/2011 22,.800,120956.604000,6709.800,5367.84,6709.800
07/10/2011 19,07/10/2011 23,.050,119638.527000,6767.900,338.53,6767.900
07/10/2011 20,07/11/2011 00,.040,116334.591000,6897.200,275.86,6897.200
07/10/2011 21,07/11/2011 01,.020,112749.374000,6895.800,137.96,6895.800
07/10/2011 22,07/11/2011 02,.020,111007.657000,6913.200,138.30,6913.200
07/10/2011 23,07/11/2011 03,.000,104993.800000,7130.100,.00,7130.100
07/10/2011 24,07/11/2011 04,.000,96358.931000,7115.000,.00,7115.000
07/11/2011 01,07/11/2011 05,.010,88641.945000,8365.600,83.67,8365.600
07/11/2011 02,07/11/2011 06,.000,83162.131000,8329.000,.00,8329.000
07/11/2011 03,07/11/2011 07,.000,79487.674000,8363.600,.00,8363.600
07/11/2011 04,07/11/2011 08,.000,77526.780000,8380.200,.00,8380.200
07/11/2011 05,07/11/2011 09,.000,77476.897000,8307.300,.00,8307.300
07/11/2011 06,07/11/2011 10,.000,80257.211000,8256.800,.00,8256.800
07/11/2011 07,07/11/2011 11,.000,85364.381000,8282.000,.00,8282.000
07/11/2011 08,07/11/2011 12,.010,93515.936000,8595.400,86.03,8595.400
07/11/2011 09,07/11/2011 13,.010,102045.587000,8364.200,83.66,8364.200
07/11/2011 10,07/11/2011 14,.020,107847.950000,8571.800,171.47,8571.800
07/11/2011 11,07/11/2011 15,.020,115205.410000,8665.400,173.34,8665.400
07/11/2011 12,07/11/2011 16,.040,121334.842000,8562.700,342.46,8562.700
07/11/2011 13,07/11/2011 17,.250,126067.811000,8647.600,2162.00,8647.600
07/11/2011 14,07/11/2011 18,5.000,130360.446000,8506.299,42531.51,8506.299
07/11/2011 15,07/11/2011 19,17.670,131800.931000,8147.800,143971.63,8147.800
07/11/2011 16,07/11/2011 20,38.250,132388.680000,8132.500,311068.35,8132.500
07/11/2011 17,07/11/2011 21,51.020,132615.272000,8202.900,418512.00,8202.900
07/11/2011 18,07/11/2011 22,33.120,131866.894000,8197.100,271488.03,8197.100
07/11/2011 19,07/11/2011 23,2.000,130110.568000,8457.900,16915.79,8457.900
07/11/2011 20,07/12/2011 00,.080,126478.836000,8262.600,660.98,8262.600
07/11/2011 21,07/12/2011 01,.050,122988.690000,8212.900,410.82,8212.900
07/11/2011 22,07/12/2011 02,.040,118923.474000,8008.500,320.36,8008.500
07/11/2011 23,07/12/2011 03,.020,111609.210000,8024.600,160.54,8024.600
07/11/2011 24,07/12/2011 04,.010,102490.328000,7863.800,78.70,7863.800
07/12/2011 01,07/12/2011 05,.010,93833.429000,8285.400,82.88,8285.400
07/12/2011 02,07/12/2011 06,.010,88339.011000,8484.100,84.89,8484.100
07/12/2011 03,07/12/2011 07,.010,84446.715000,8499.600,85.02,8499.600
07/12/2011 04,07/12/2011 08,.000,82040.928000,8535.300,.00,8535.300
07/12/2011 05,07/12/2011 09,.000,81546.583000,8497.300,.00,8497.300
07/12/2011 06,07/12/2011 10,.000,84191.455000,8555.700,.00,8555.700
07/12/2011 07,07/12/2011 11,.010,88779.997000,8280.000,82.94,8280.000
07/12/2011 08,07/12/2011 12,.020,96127.551000,8582.200,171.65,8582.200
07/12/2011 09,07/12/2011 13,.020,103535.349000,8515.600,170.34,8515.600
07/12/2011 10,07/12/2011 14,.040,110501.243000,8356.200,334.28,8356.200
07/12/2011 11,07/12/2011 15,.020,117749.717000,8413.800,168.29,8413.800
07/12/2011 12,07/12/2011 16,.250,123726.382000,8389.500,2097.54,8389.500
07/12/2011 13,07/12/2011 17,1.000,128649.993000,8206.601,8206.61,8206.601
07/12/2011 14,07/12/2011 18,8.710,132480.155000,7885.600,68683.66,7885.600
07/12/2011 15,07/12/2011 19,23.720,135212.754000,7905.099,187508.98,7905.099
07/12/2011 16,07/12/2011 20,31.250,136940.620000,7910.299,247197.20,7910.299
07/12/2011 17,07/12/2011 21,44.460,138592.079000,7912.699,351798.55,7912.699
07/12/2011 18,07/12/2011 22,19.580,138321.913000,7740.199,151553.05,7740.199
07/12/2011 19,07/12/2011 23,5.000,136164.505000,8061.199,40306.00,8061.199
07/12/2011 20,07/13/2011 00,.750,131277.584000,7514.600,5636.08,7514.600
07/12/2011 21,07/13/2011 01,.080,126460.087000,7229.200,578.37,7229.200
07/12/2011 22,07/13/2011 02,.040,123328.754000,7308.800,292.38,7308.800
07/12/2011 23,07/13/2011 03,.020,114635.454000,7069.700,141.45,7069.700
07/12/2011 24,07/13/2011 04,.010,104230.039000,7172.700,71.75,7172.700
07/13/2011 01,07/13/2011 05,.000,95303.162000,7077.400,.00,7077.400
07/13/2011 02,07/13/2011 06,.000,88905.641000,7138.200,.00,7138.200
07/13/2011 03,07/13/2011 07,.000,84445.195000,7087.000,.00,7087.000
07/13/2011 04,07/13/2011 08,.000,81664.312000,7149.600,.00,7149.600
07/13/2011 05,07/13/2011 09,.000,80996.823000,7243.900,.00,7243.900
07/13/2011 06,07/13/2011 10,.000,82989.795000,7252.600,.00,7252.600
07/13/2011 07,07/13/2011 11,.000,87352.685000,7124.700,.00,7124.700
07/13/2011 08,07/13/2011 12,.000,94352.107000,7102.200,.00,7102.200
07/13/2011 09,07/13/2011 13,.010,100858.099000,7012.600,70.15,7012.600
07/13/2011 10,07/13/2011 14,.010,106277.150000,6889.800,68.94,6889.800
07/13/2011 11,07/13/2011 15,.010,110953.609000,7217.500,72.24,7217.500
07/13/2011 12,07/13/2011 16,.010,114287.291000,7243.900,72.49,7243.900
07/13/2011 13,07/13/2011 17,.020,116851.707000,7231.400,144.68,7231.400
07/13/2011 14,07/13/2011 18,.020,118874.478000,7275.700,145.52,7275.700
07/13/2011 15,07/13/2011 19,.020,119706.969000,7301.700,146.05,7301.700
07/13/2011 16,07/13/2011 20,.020,119551.736000,7315.800,146.34,7315.800
07/13/2011 17,07/13/2011 21,.020,120299.895000,7331.000,146.64,7331.000
07/13/2011 18,07/13/2011 22,.020,119570.661000,7027.300,140.60,7027.300
07/13/2011 19,07/13/2011 23,.010,117088.618000,6987.000,69.94,6987.000
07/13/2011 20,07/14/2011 00,.010,112483.509000,7099.100,71.04,7099.100
07/13/2011 21,07/14/2011 01,.010,107845.569000,6881.400,68.88,6881.400
07/13/2011 22,07/14/2011 02,.010,105099.453000,6819.000,68.33,6819.000
07/13/2011 23,07/14/2011 03,.010,98100.501000,6863.600,68.67,6863.600
07/13/2011 24,07/14/2011 04,.000,88943.819000,6959.800,.00,6959.800
07/14/2011 01,07/14/2011 05,.000,81008.744000,7520.800,.00,7520.800
07/14/2011 02,07/14/2011 06,.000,75462.099000,7614.700,.00,7614.700
07/14/2011 03,07/14/2011 07,.000,71917.638000,7529.300,.00,7529.300
07/14/2011 04,07/14/2011 08,.000,69886.360000,7487.800,.00,7487.800
07/14/2011 05,07/14/2011 09,.000,69675.086000,7583.500,.00,7583.500
07/14/2011 06,07/14/2011 10,.000,71888.775000,7526.700,.00,7526.700
07/14/2011 07,07/14/2011 11,.000,76041.394000,7556.700,.00,7556.700
07/14/2011 08,07/14/2011 12,.010,82656.402000,7684.300,76.87,7684.300
07/14/2011 09,07/14/2011 13,.010,88677.674000,7659.300,76.59,7659.300
07/14/2011 10,07/14/2011 14,.010,93560.851000,7640.600,76.48,7640.600
07/14/2011 11,07/14/2011 15,.010,98318.096000,7638.400,76.47,7638.400
07/14/2011 12,07/14/2011 16,.020,101988.938000,7590.100,151.81,7590.100
07/14/2011 13,07/14/2011 17,.020,104871.080000,7567.900,151.37,7567.900
07/14/2011 14,07/14/2011 18,.020,107803.354000,7611.800,152.23,7611.800
07/14/2011 15,07/14/2011 19,.050,110568.799000,7596.000,379.92,7596.000
07/14/2011 16,07/14/2011 20,.100,112407.387000,7602.300,760.23,7602.300
07/14/2011 17,07/14/2011 21,.100,114087.487000,7039.200,703.92,7039.200
07/14/2011 18,07/14/2011 22,.050,113910.582000,7043.100,352.32,7043.100
07/14/2011 19,07/14/2011 23,.020,111222.365000,6995.600,139.89,6995.600
