Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"August, 2008 ",Report Creation Timestamp (EPT):, 07/29/2010 05:21:53 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
08/27/2008 15,08/27/2008 19,0.35,91536.006,5569.8,1949.49,5569.8
08/27/2008 16,08/27/2008 20,0.35,91880.444,5569.8,1949.49,5569.8
08/27/2008 17,08/27/2008 21,0.35,92148.374,5569.7,1949.45,5569.7
08/27/2008 18,08/27/2008 22,0.35,91333.667,5530.8,1935.83,5530.8
08/27/2008 19,08/27/2008 23,0.35,89496.935,5328.1,1864.9,5328.1
08/27/2008 20,08/28/2008 00,0.25,88425.066,5341.8,1335.6,5341.8
08/27/2008 21,08/28/2008 01,0.35,89415.37,5451.1,1907.96,5451.1
08/27/2008 22,08/28/2008 02,0.25,86699.675,5527.6,1382.09,5527.6
08/27/2008 23,08/28/2008 03,0.25,80457.781,5469.1,1367.36,5469.1
08/27/2008 24,08/28/2008 04,0.25,73614.002,5365.8,1341.7,5365.8
08/28/2008 01,08/28/2008 05,0.25,68056.323,5240.1,1310.19,5240.1
08/28/2008 02,08/28/2008 06,0.25,64648.353,5339.1,1334.89,5339.1
08/28/2008 03,08/28/2008 07,0.25,62806.946,5260.001,1315.07,5260.001
08/28/2008 04,08/28/2008 08,0.25,61774.684,5267.2,1316.95,5267.2
08/28/2008 05,08/28/2008 09,0.25,62251.694,5297.1,1324.43,5297.1
08/28/2008 06,08/28/2008 10,0.25,65805.478,5340.4,1335.2,5340.4
08/28/2008 07,08/28/2008 11,0.25,72623.907,5277.1,1319.44,5277.1
08/28/2008 08,08/28/2008 12,0.25,77419.827,5271.5,1317.98,5271.5
08/28/2008 09,08/28/2008 13,0.25,81174.364,5232.4,1308.24,5232.4
08/28/2008 10,08/28/2008 14,0.25,84072.276,5304.9,1326.41,5304.9
08/28/2008 11,08/28/2008 15,0.25,86388.152,5340.2,1335.24,5340.2
08/28/2008 12,08/28/2008 16,0.25,87703.639,5376,1344.12,5376
08/28/2008 13,08/28/2008 17,0.33,88628.985,5337.1,1761.24,5337.1
08/28/2008 14,08/28/2008 18,0.35,89680.582,5358.7,1875.59,5358.7
08/28/2008 15,08/28/2008 19,0.35,90566.782,5358.8,1875.62,5358.8
08/28/2008 16,08/28/2008 20,0.35,91158.969,5349.3,1872.3,5349.3
08/28/2008 17,08/28/2008 21,0.35,91909.727,5353.9,1873.91,5353.9
08/28/2008 18,08/28/2008 22,0.35,91547.591,5353.6,1873.8,5353.6
08/28/2008 19,08/28/2008 23,0.35,90193.435,5288.2,1850.92,5288.2
08/28/2008 20,08/29/2008 00,0.35,89730.783,5287.8,1850.79,5287.8
08/28/2008 21,08/29/2008 01,0.35,91274.579,5377.5,1882.18,5377.5
08/28/2008 22,08/29/2008 02,0.25,88823.099,5373.4,1343.47,5373.4
08/28/2008 23,08/29/2008 03,0.25,82675.734,5359.7,1340.02,5359.7
08/28/2008 24,08/29/2008 04,0.25,76244.705,5117.8,1279.57,5117.8
08/29/2008 01,08/29/2008 05,0.23,70662.849,5474,1258.98,5474
08/29/2008 02,08/29/2008 06,0.23,66904.151,5602.5,1288.63,5602.5
08/29/2008 03,08/29/2008 07,0.23,64777.972,5596.8,1287.33,5596.8
08/29/2008 04,08/29/2008 08,0.23,63732.101,5593.4,1286.44,5593.4
08/29/2008 05,08/29/2008 09,0.23,64052.397,5593.2,1286.4,5593.2
08/29/2008 06,08/29/2008 10,0.23,67189.382,5586.5,1284.96,5586.5
08/29/2008 07,08/29/2008 11,0.23,73564.82,5606.2,1289.41,5606.2
08/29/2008 08,08/29/2008 12,0.23,78444.229,5622.8,1293.24,5622.8
08/29/2008 09,08/29/2008 13,0.24,82497.938,5648.3,1355.58,5648.3
08/29/2008 10,08/29/2008 14,0.23,86402.738,5659.8,1301.83,5659.8
08/29/2008 11,08/29/2008 15,0.23,89791.141,5663.8,1302.69,5663.8
08/29/2008 12,08/29/2008 16,0.25,92650.767,5664.6,1416.26,5664.6
08/29/2008 13,08/29/2008 17,0.25,94843.512,5664.1,1416.11,5664.1
08/29/2008 14,08/29/2008 18,0.35,97101.363,5663.1,1982.12,5663.1
08/29/2008 15,08/29/2008 19,0.35,98465.819,5663.2,1982.16,5663.2
08/29/2008 16,08/29/2008 20,0.35,98842.08,5663.2,1982.16,5663.2
08/29/2008 17,08/29/2008 21,0.35,98957.586,5663.3,1982.2,5663.3
08/29/2008 18,08/29/2008 22,0.35,98230.822,5665,1982.8,5665
08/29/2008 19,08/29/2008 23,0.25,95862.089,5661.5,1415.49,5661.5
08/29/2008 20,08/30/2008 00,0.24,93330.153,5661.5,1358.77,5661.5
08/29/2008 21,08/30/2008 01,0.25,92659.423,5661.8,1415.55,5661.8
08/29/2008 22,08/30/2008 02,0.23,89649.347,5661.4,1302.18,5661.4
08/29/2008 23,08/30/2008 03,0.23,83840.642,5599.6,1287.9,5599.6
08/29/2008 24,08/30/2008 04,0.23,77088.57,5459,1255.65,5459
08/30/2008 01,08/30/2008 05,0.23,71076.83,5296.1,1218.15,5296.1
08/30/2008 02,08/30/2008 06,0.23,66755.784,5316.8,1222.89,5316.8
08/30/2008 03,08/30/2008 07,0.23,63973.678,5316.9,1222.84,5316.9
08/30/2008 04,08/30/2008 08,0.23,62056.06,5286.1,1215.79,5286.1
08/30/2008 05,08/30/2008 09,0.23,61298.801,5285.7,1215.71,5285.7
08/30/2008 06,08/30/2008 10,0.23,61685.536,5276.9,1213.75,5276.9
08/30/2008 07,08/30/2008 11,0.23,63335.683,5277.4,1213.81,5277.4
08/30/2008 08,08/30/2008 12,0.23,65155.331,5313.8,1222.16,5313.8
08/30/2008 09,08/30/2008 13,0.23,70122.667,5313,1221.98,5313
08/30/2008 10,08/30/2008 14,0.25,75803.28,5410.4,1352.68,5410.4
08/30/2008 11,08/30/2008 15,0.25,80815.288,5425.9,1356.53,5425.9
08/30/2008 12,08/30/2008 16,0.25,85345.97,5439.7,1360.03,5439.7
08/30/2008 13,08/30/2008 17,0.25,89171.652,5439.6,1360,5439.6
08/30/2008 14,08/30/2008 18,0.35,92385.993,5443,1905.09,5443
08/30/2008 15,08/30/2008 19,0.35,94909.596,5444.7,1905.69,5444.7
08/30/2008 16,08/30/2008 20,0.5,97039.268,5444.8,2722.4,5444.8
08/30/2008 17,08/30/2008 21,0.38,98211.333,5444.8,2069.01,5444.8
08/30/2008 18,08/30/2008 22,0.35,98111.475,5444.8,1905.73,5444.8
08/30/2008 19,08/30/2008 23,0.35,95974.696,5444.6,1905.64,5444.6
08/30/2008 20,08/31/2008 00,0.35,93701.285,5444.8,1905.73,5444.8
08/30/2008 21,08/31/2008 01,0.35,93033.437,5444.8,1905.74,5444.8
08/30/2008 22,08/31/2008 02,0.25,89761.921,5445.8,1361.54,5445.8
08/30/2008 23,08/31/2008 03,0.25,83855.174,5445.5,1361.49,5445.5
08/30/2008 24,08/31/2008 04,0.23,77401.951,5290,1216.75,5290
08/31/2008 01,08/31/2008 05,0.23,71317.016,5556.1,1277.91,5556.1
08/31/2008 02,08/31/2008 06,0.23,66572.353,5627.4,1294.28,5627.4
08/31/2008 03,08/31/2008 07,0.23,63407.916,5645.7,1298.5,5645.7
08/31/2008 04,08/31/2008 08,0.23,61221.436,5550.6,1276.6,5550.6
08/31/2008 05,08/31/2008 09,0.23,59847.941,5523.2,1270.3,5523.2
08/31/2008 06,08/31/2008 10,0.23,59420.636,5486.6,1261.96,5486.6
08/31/2008 07,08/31/2008 11,0.23,59608.843,5486.1,1261.81,5486.1
08/31/2008 08,08/31/2008 12,0.23,60789.455,5646.9,1298.81,5646.9
08/31/2008 09,08/31/2008 13,0.23,65830.111,5646.7,1298.78,5646.7
08/31/2008 10,08/31/2008 14,0.25,71788.368,5646.5,1411.7,5646.5
08/31/2008 11,08/31/2008 15,0.25,77100.868,5513.5,1378.48,5513.5
08/31/2008 12,08/31/2008 16,0.35,81574.836,5541.4,1939.54,5541.4
08/31/2008 13,08/31/2008 17,0.35,85214.754,5549.5,1942.36,5549.5
08/31/2008 14,08/31/2008 18,0.35,88127.825,5699.6,1994.9,5699.6
08/31/2008 15,08/31/2008 19,0.35,90468.203,5699.7,1994.95,5699.7
08/31/2008 16,08/31/2008 20,0.35,92496.677,5699.7,1994.94,5699.7
08/31/2008 17,08/31/2008 21,0.35,94040.292,5703.6,1996.3,5703.6
08/31/2008 18,08/31/2008 22,0.35,94186.11,5703.5,1996.27,5703.5
08/31/2008 19,08/31/2008 23,0.35,92044.588,5703.5,1996.25,5703.5
08/31/2008 20,09/01/2008 00,0.35,87990.732,5687,1990.48,5687
08/31/2008 21,09/01/2008 01,0.35,86665.649,5686.9,1990.47,5686.9
08/31/2008 22,09/01/2008 02,0.35,83168.565,5688.6,1991.06,5688.6
08/31/2008 23,09/01/2008 03,0.25,77757.328,5556.6,1389.22,5556.6
08/31/2008 24,09/01/2008 04,0.25,71831.533,5546.7,1386.76,5546.7
End of Report,,,,,,
