Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"August, 2008 ",Report Creation Timestamp (EPT):, 07/29/2010 05:21:53 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
08/06/2008 03,08/06/2008 07,0.25,73803.637,6994.3,1748.7,6994.3
08/06/2008 04,08/06/2008 08,0.25,71908.727,6995,1748.85,6995
08/06/2008 05,08/06/2008 09,0.25,71850.137,6994.7,1748.84,6994.7
08/06/2008 06,08/06/2008 10,0.38,74692.068,6966.2,2647.15,6966.2
08/06/2008 07,08/06/2008 11,0.38,79648.446,6955.7,2643.15,6955.7
08/06/2008 08,08/06/2008 12,0.4,84752.778,6976.5,2790.6,6976.5
08/06/2008 09,08/06/2008 13,0.44,90827.245,6976.5,3069.66,6976.5
08/06/2008 10,08/06/2008 14,0.43,96893.722,7052.7,3032.68,7052.7
08/06/2008 11,08/06/2008 15,0.43,102621.806,7022,3019.47,7022
08/06/2008 12,08/06/2008 16,0.44,107331.899,7031.9,3094.02,7031.9
08/06/2008 13,08/06/2008 17,0.44,111388.806,7039.6,3097.42,7039.6
08/06/2008 14,08/06/2008 18,0.5,114905.735,7039.6,3519.8,7039.6
08/06/2008 15,08/06/2008 19,1,117346.533,7037,7037,7037
08/06/2008 16,08/06/2008 20,1.5,118616.582,7030.799,10546.19,7030.799
08/06/2008 17,08/06/2008 21,1,118889.571,7033.999,7034.01,7033.999
08/06/2008 18,08/06/2008 22,1.5,117775.669,7032.499,10548.75,7032.499
08/06/2008 19,08/06/2008 23,0.5,114922.141,7041.4,3520.7,7041.4
08/06/2008 20,08/07/2008 00,0.44,109931.089,7032.5,3094.3,7032.5
08/06/2008 21,08/07/2008 01,0.44,107208.598,7036.7,3096.13,7036.7
08/06/2008 22,08/07/2008 02,0.43,104337.533,7036.7,3025.76,7036.7
08/06/2008 23,08/07/2008 03,0.43,96550.863,6967.7,2996.14,6967.7
08/06/2008 24,08/07/2008 04,0.43,87804.105,6939.8,2984.11,6939.8
08/07/2008 01,08/07/2008 05,0.25,80208.218,6390.2,1597.7,6390.2
08/07/2008 02,08/07/2008 06,0.25,74958.32,6479.6,1619.97,6479.6
08/07/2008 03,08/07/2008 07,0.25,71464.098,6479.4,1620.05,6479.4
08/07/2008 04,08/07/2008 08,0.25,69339.655,6480.4,1620.24,6480.4
08/07/2008 05,08/07/2008 09,0.25,68913.578,6499.2,1624.97,6499.2
08/07/2008 06,08/07/2008 10,0.25,71412.005,6499.7,1625.02,6499.7
08/07/2008 07,08/07/2008 11,0.25,75721.672,6490.5,1622.78,6490.5
08/07/2008 08,08/07/2008 12,0.25,80869.255,6495.5,1623.95,6495.5
08/07/2008 09,08/07/2008 13,0.38,86766.372,6494.8,2468.04,6494.8
08/07/2008 10,08/07/2008 14,0.42,92457.494,6486.799,2724.45,6486.799
08/07/2008 11,08/07/2008 15,0.43,97847.516,6469.2,2781.79,6469.2
08/07/2008 12,08/07/2008 16,0.43,101987.316,6451.5,2774.17,6451.5
08/07/2008 13,08/07/2008 17,0.43,104619.817,6445,2771.36,6445
