Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"January, 2009 ",Report Creation Timestamp (EPT):, 07/06/2010 07:09:36 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
01/06/2009 21,01/07/2009 02,0.1,95131.488,5654.3,565.43,5654.3
01/06/2009 22,01/07/2009 03,0.09,91109.877,5654.9,508.95,5654.9
01/06/2009 23,01/07/2009 04,0.09,85078.795,5634.3,507.11,5634.3
01/06/2009 24,01/07/2009 05,0.09,79104.976,5622.3,506.03,5622.3
01/07/2009 01,01/07/2009 06,0,74714.169,4919.3,0,4919.3
01/07/2009 02,01/07/2009 07,0,72124.545,4861.4,0,4861.4
01/07/2009 03,01/07/2009 08,0,70830.367,4958.2,0,4958.2
01/07/2009 04,01/07/2009 09,0,70648.998,5608.5,0,5608.5
01/07/2009 05,01/07/2009 10,0,71828.72,5605.3,0,5605.3
01/07/2009 06,01/07/2009 11,0,76203.304,5592.4,0,5592.4
01/07/2009 07,01/07/2009 12,0.09,83545.366,5551.7,499.71,5551.7
01/07/2009 08,01/07/2009 13,0.1,89056.776,5548.8,554.88,5548.8
01/07/2009 09,01/07/2009 14,0.09,90050.826,5290.9,476.17,5290.9
01/07/2009 10,01/07/2009 15,0.1,90043.094,5475.5,547.55,5475.5
01/07/2009 11,01/07/2009 16,0.1,90544.419,5547.7,554.77,5547.7
01/07/2009 12,01/07/2009 17,0.1,90588.428,5535.7,553.57,5535.7
01/07/2009 13,01/07/2009 18,0.09,90111.767,5257.1,473.13,5257.1
01/07/2009 14,01/07/2009 19,0.09,89761.195,5256.9,473.14,5256.9
01/07/2009 15,01/07/2009 20,0.05,89219.249,5262.7,263.2,5262.7
01/07/2009 16,01/07/2009 21,0.05,89047.034,5267.4,263.46,5267.4
01/07/2009 17,01/07/2009 22,0.09,91016.85,5548.6,499.36,5548.6
01/07/2009 18,01/07/2009 23,0.1,95749.454,5454.6,545.46,5454.6
01/07/2009 19,01/08/2009 00,0.1,96984.317,5476.5,547.65,5476.5
01/07/2009 20,01/08/2009 01,0.1,95747.45,5493.7,549.37,5493.7
01/07/2009 21,01/08/2009 02,0.1,94006.626,5565,556.5,5565
01/07/2009 22,01/08/2009 03,0.09,90711.347,5270.3,474.33,5270.3
01/07/2009 23,01/08/2009 04,0,85291.232,5577.8,0,5577.8
01/07/2009 24,01/08/2009 05,0,79820.118,5585.5,0,5585.5
01/08/2009 01,01/08/2009 06,0.03,75872.197,4588.3,137.7,4588.3
01/08/2009 02,01/08/2009 07,0,73868.089,4756.6,0,4756.6
01/08/2009 03,01/08/2009 08,0,73025.129,4733.8,0,4733.8
01/08/2009 04,01/08/2009 09,0,73262.457,4736,0,4736
01/08/2009 05,01/08/2009 10,0,74754.044,4592.4,0,4592.4
01/08/2009 06,01/08/2009 11,0.03,79547.893,4617.3,138.55,4617.3
01/08/2009 07,01/08/2009 12,0.09,87945.798,4508.8,405.82,4508.8
01/08/2009 08,01/08/2009 13,0.1,93187.428,4594.1,459.41,4594.1
01/08/2009 09,01/08/2009 14,0.09,93166.178,4605.2,414.48,4605.2
01/08/2009 10,01/08/2009 15,0.09,92596.708,4603,414.34,4603
01/08/2009 11,01/08/2009 16,0.1,92139.039,4600.2,460.02,4600.2
01/08/2009 12,01/08/2009 17,0.09,91284.367,4637.4,417.37,4637.4
01/08/2009 13,01/08/2009 18,0.09,90205.376,4675.9,420.82,4675.9
01/08/2009 14,01/08/2009 19,0.09,89503.841,4676.2,420.85,4676.2
01/08/2009 15,01/08/2009 20,0.09,88641.667,4706.3,423.59,4706.3
01/08/2009 16,01/08/2009 21,0.08,88661.549,4698.8,375.9,4698.8
01/08/2009 17,01/08/2009 22,0.09,90915.674,4632.7,416.91,4632.7
01/08/2009 18,01/08/2009 23,0.1,97268.599,4543,454.3,4543
01/08/2009 19,01/09/2009 00,0.1,100097.318,4618.1,461.81,4618.1
01/08/2009 20,01/09/2009 01,0.1,99544.866,4502.8,450.28,4502.8
01/08/2009 21,01/09/2009 02,0.1,98107.669,4606.5,460.65,4606.5
01/08/2009 22,01/09/2009 03,0.09,94842.133,4627.1,416.42,4627.1
01/08/2009 23,01/09/2009 04,0.09,89672.577,4664.9,419.86,4664.9
01/08/2009 24,01/09/2009 05,0.09,84132.632,4600.7,414.06,4600.7
01/09/2009 01,01/09/2009 06,0.09,80058.083,5718.9,514.71,5718.9
01/09/2009 02,01/09/2009 07,0.09,77917.456,5718.7,514.72,5718.7
01/09/2009 03,01/09/2009 08,0.08,77150.73,5718.9,457.51,5718.9
01/09/2009 04,01/09/2009 09,0.08,77288.042,5718.8,457.5,5718.8
01/09/2009 05,01/09/2009 10,0.09,79044.062,5719,514.75,5719
01/09/2009 06,01/09/2009 11,0.09,83755.59,5681.9,511.39,5681.9
01/09/2009 07,01/09/2009 12,0.1,92332.038,5718.8,571.88,5718.8
01/09/2009 08,01/09/2009 13,0.1,97386.115,5715.6,571.56,5715.6
01/09/2009 09,01/09/2009 14,0.1,96953.204,5716,571.6,5716
01/09/2009 10,01/09/2009 15,0.1,95344.201,5716.4,571.64,5716.4
01/09/2009 11,01/09/2009 16,0.1,94139.673,5714.8,571.48,5714.8
