Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"January, 2009 ",Report Creation Timestamp (EPT):, 07/06/2010 07:09:36 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
01/28/2009 21,01/29/2009 02,0.1,95883.13,5683.6,568.36,5683.6
01/28/2009 22,01/29/2009 03,0.09,92318.137,5685.6,511.72,5685.6
01/28/2009 23,01/29/2009 04,0.03,86891.781,5540.9,166.25,5540.9
01/28/2009 24,01/29/2009 05,0,82050.71,5683.9,0,5683.9
01/29/2009 01,01/29/2009 06,0.09,78412.412,5973.1,537.62,5973.1
01/29/2009 02,01/29/2009 07,0.09,76694.604,5973.1,537.62,5973.1
01/29/2009 03,01/29/2009 08,0.09,76282.117,5973.2,537.55,5973.2
01/29/2009 04,01/29/2009 09,0,76702.105,5881.8,0,5881.8
01/29/2009 05,01/29/2009 10,0,78581.543,5974.6,0,5974.6
01/29/2009 06,01/29/2009 11,0.09,83567.906,5967.2,537.07,5967.2
01/29/2009 07,01/29/2009 12,0.1,91396.381,6088.7,608.87,6088.7
01/29/2009 08,01/29/2009 13,0.1,96595.481,6092.1,609.21,6092.1
01/29/2009 09,01/29/2009 14,0.1,97227.56,6096.1,609.61,6096.1
01/29/2009 10,01/29/2009 15,0.1,95613.62,6095.5,609.55,6095.5
01/29/2009 11,01/29/2009 16,0.1,94352.867,6024.2,602.42,6024.2
01/29/2009 12,01/29/2009 17,0.1,92374.86,5940.2,594.02,5940.2
01/29/2009 13,01/29/2009 18,0.1,90742.693,5942.4,594.22,5942.4
01/29/2009 14,01/29/2009 19,0.09,89248.288,5855.1,527,5855.1
01/29/2009 15,01/29/2009 20,0.09,88016.425,5718.5,514.68,5718.5
01/29/2009 16,01/29/2009 21,0.09,87362.712,5957.4,536.16,5957.4
01/29/2009 17,01/29/2009 22,0.09,88671.536,5988.2,538.96,5988.2
01/29/2009 18,01/29/2009 23,0.1,93950.807,6065.1,606.51,6065.1
01/29/2009 19,01/30/2009 00,0.19,98656.134,6075,1154.24,6075
01/29/2009 20,01/30/2009 01,0.1,98836.402,6077.8,607.78,6077.8
01/29/2009 21,01/30/2009 02,0.1,97789.564,6080.8,608.08,6080.8
01/29/2009 22,01/30/2009 03,0.1,94999.563,6086.1,608.61,6086.1
01/29/2009 23,01/30/2009 04,0.09,89906.079,5925.1,533.27,5925.1
01/29/2009 24,01/30/2009 05,0.09,84899.465,5998,539.85,5998
01/30/2009 01,01/30/2009 06,0,81131.276,5193.2,0,5193.2
01/30/2009 02,01/30/2009 07,0,79388.574,5229.5,0,5229.5
01/30/2009 03,01/30/2009 08,0,78908.667,5291.7,0,5291.7
01/30/2009 04,01/30/2009 09,0,79210.019,5302.5,0,5302.5
01/30/2009 05,01/30/2009 10,0,81031.494,5107.2,0,5107.2
01/30/2009 06,01/30/2009 11,0.09,85818.494,5246.5,472.18,5246.5
01/30/2009 07,01/30/2009 12,0.1,93809.564,5395.2,539.52,5395.2
01/30/2009 08,01/30/2009 13,0.1,98555.686,5435.6,543.56,5435.6
01/30/2009 09,01/30/2009 14,0.1,97988.644,5349.3,534.93,5349.3
01/30/2009 10,01/30/2009 15,0.09,95883.36,5355.8,482,5355.8
01/30/2009 11,01/30/2009 16,0.09,94325.802,5364,482.8,5364
01/30/2009 12,01/30/2009 17,0.09,92592.567,5404.5,486.42,5404.5
01/30/2009 13,01/30/2009 18,0.09,90915.649,5127.2,461.42,5127.2
01/30/2009 14,01/30/2009 19,0.09,89590.509,5297.1,476.72,5297.1
01/30/2009 15,01/30/2009 20,0,88480.528,5244.5,0,5244.5
01/30/2009 16,01/30/2009 21,0,87904.575,5232.4,0,5232.4
01/30/2009 17,01/30/2009 22,0.08,89199.614,5268.5,421.46,5268.5
01/30/2009 18,01/30/2009 23,0.1,93838.326,5450,545,5450
01/30/2009 19,01/31/2009 00,0.1,98170.257,5450.7,545.07,5450.7
01/30/2009 20,01/31/2009 01,0.1,97734.263,5447.5,544.75,5447.5
01/30/2009 21,01/31/2009 02,0.1,96411.737,5438,543.8,5438
01/30/2009 22,01/31/2009 03,0.09,93949.632,5437.2,489.31,5437.2
01/30/2009 23,01/31/2009 04,0.08,90371.697,5343.4,427.46,5343.4
01/30/2009 24,01/31/2009 05,0,85890.663,5278.9,0,5278.9
01/31/2009 01,01/31/2009 06,0.09,82379.644,5395.7,485.61,5395.7
01/31/2009 02,01/31/2009 07,0.09,80559.163,5435.7,489.25,5435.7
01/31/2009 03,01/31/2009 08,0.09,79850.958,5433.5,489,5433.5
01/31/2009 04,01/31/2009 09,0.09,79950.844,5329.1,479.6,5329.1
01/31/2009 05,01/31/2009 10,0.09,80665.576,5436.1,489.25,5436.1
01/31/2009 06,01/31/2009 11,0.09,82879.389,5436.6,489.25,5436.6
01/31/2009 07,01/31/2009 12,0.09,86361.558,5436.1,489.29,5436.1
01/31/2009 08,01/31/2009 13,0.1,89690.566,5451.201,545.12,5451.201
01/31/2009 09,01/31/2009 14,0.1,91987.006,5451.3,545.13,5451.3
01/31/2009 10,01/31/2009 15,0.1,92565.232,5450.7,545.07,5450.7
01/31/2009 11,01/31/2009 16,0.1,91748.05,5451,545.1,5451
01/31/2009 12,01/31/2009 17,0.1,89938.036,5450.6,545.06,5450.6
01/31/2009 13,01/31/2009 18,0.09,87324.152,5336.1,480.26,5336.1
01/31/2009 14,01/31/2009 19,0.09,84734.297,5413.9,487.3,5413.9
01/31/2009 15,01/31/2009 20,0.09,82582.728,5413.6,487.2,5413.6
01/31/2009 16,01/31/2009 21,0.09,81745.846,5410.3,486.93,5410.3
01/31/2009 17,01/31/2009 22,0.09,82931.154,5411,486.95,5411
01/31/2009 18,01/31/2009 23,0.1,87725.828,5448,544.8,5448
01/31/2009 19,02/01/2009 00,0.1,92406.318,5447.7,544.77,5447.7
01/31/2009 20,02/01/2009 01,0.1,92451.851,5439.7,543.97,5439.7
01/31/2009 21,02/01/2009 02,0.1,91372.853,5432.5,543.25,5432.5
01/31/2009 22,02/01/2009 03,0.1,89114.129,5432.6,543.26,5432.6
01/31/2009 23,02/01/2009 04,0.09,85431.937,5328.8,479.59,5328.8
01/31/2009 24,02/01/2009 05,0.09,81395.185,5359.7,482.35,5359.7
End of Report,,,,,,
