Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"September, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 11:59:09 AM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
09/12/2008 18,09/12/2008 22,0.22,89683.429,5014.4,1103.18,5014.4
09/12/2008 19,09/12/2008 23,0.15,88466.839,5010.2,751.59,5010.2
09/12/2008 20,09/13/2008 00,0.2,88680.931,5010.2,1002.04,5010.2
09/12/2008 21,09/13/2008 01,0.22,88982.485,5011.4,1102.55,5011.4
09/12/2008 22,09/13/2008 02,0.15,85935.703,5002.5,750.44,5002.5
09/12/2008 23,09/13/2008 03,0.15,81179.521,4971.3,745.75,4971.3
09/12/2008 24,09/13/2008 04,0.15,75185.574,4971.4,745.77,4971.4
09/13/2008 01,09/13/2008 05,0.15,69863.206,4918.3,737.83,4918.3
09/13/2008 02,09/13/2008 06,0.15,66289.899,4919,737.92,4919
09/13/2008 03,09/13/2008 07,0.15,63840.081,4918.9,737.93,4918.9
09/13/2008 04,09/13/2008 08,0.15,62387.53,4919.1,737.94,4919.1
09/13/2008 05,09/13/2008 09,0.15,61896.552,4919.2,737.97,4919.2
09/13/2008 06,09/13/2008 10,0.15,62680.023,4910.1,736.61,4910.1
09/13/2008 07,09/13/2008 11,0.15,64818.45,4909.9,736.58,4909.9
09/13/2008 08,09/13/2008 12,0.19,68085.8,4918.9,934.6,4918.9
09/13/2008 09,09/13/2008 13,0.19,73901.427,4927,936.16,4927
09/13/2008 10,09/13/2008 14,0.19,80507.751,4933.7,937.42,4933.7
09/13/2008 11,09/13/2008 15,0.19,86098.132,4923.7,935.52,4923.7
09/13/2008 12,09/13/2008 16,0.19,90224.454,4942.2,939.02,4942.2
09/13/2008 13,09/13/2008 17,0.19,93314.143,4942.1,939,4942.1
09/13/2008 14,09/13/2008 18,0.23,95587.663,4943,1136.91,4943
09/13/2008 15,09/13/2008 19,0.22,96667.509,4946,1088.1,4946
09/13/2008 16,09/13/2008 20,0.23,97596.37,4944.6,1137.27,4944.6
09/13/2008 17,09/13/2008 21,0.38,97631.335,4938.1,1876.48,4938.1
09/13/2008 18,09/13/2008 22,0.33,96982.724,4867.8,1606.39,4867.8
09/13/2008 19,09/13/2008 23,0.19,95516.722,4935.7,937.79,4935.7
09/13/2008 20,09/14/2008 00,0.22,95603.113,4936.1,1085.96,4936.1
09/13/2008 21,09/14/2008 01,0.19,95528.113,4927.5,936.23,4927.5
09/13/2008 22,09/14/2008 02,0.19,91966.645,4927.2,936.19,4927.2
09/13/2008 23,09/14/2008 03,0.15,86681.228,4927.3,739.19,4927.3
09/13/2008 24,09/14/2008 04,0.15,80558.077,4893.6,734.15,4893.6
09/14/2008 01,09/14/2008 05,0.15,74984.277,5682.6,852.44,5682.6
09/14/2008 02,09/14/2008 06,0.15,70660.599,5700.8,855.21,5700.8
09/14/2008 03,09/14/2008 07,0.15,67722.527,5706,856,5706
09/14/2008 04,09/14/2008 08,0.15,65519.362,5679.3,851.96,5679.3
09/14/2008 05,09/14/2008 09,0.15,64551.141,5722,858.41,5722
09/14/2008 06,09/14/2008 10,0.15,64483.216,5699.6,855.02,5699.6
09/14/2008 07,09/14/2008 11,0.15,65636.897,5716.1,857.5,5716.1
09/14/2008 08,09/14/2008 12,0.15,67351.426,5753.3,863.1,5753.3
09/14/2008 09,09/14/2008 13,0.15,73295.085,5746.2,861.97,5746.2
09/14/2008 10,09/14/2008 14,0.15,80494.941,5750.6,862.67,5750.6
09/14/2008 11,09/14/2008 15,0.15,87442.401,5742.9,861.57,5742.9
09/14/2008 12,09/14/2008 16,0.19,93553.805,5741.2,1090.84,5741.2
09/14/2008 13,09/14/2008 17,0.22,98098.743,5743.7,1263.58,5743.7
09/14/2008 14,09/14/2008 18,0.5,101565.285,5720.5,2860.25,5720.5
09/14/2008 15,09/14/2008 19,0.5,103172.32,5719.3,2859.65,5719.3
09/14/2008 16,09/14/2008 20,0.75,102829.914,5585,4188.8,5585
09/14/2008 17,09/14/2008 21,0.97,101534.144,5584.7,5417.2,5584.7
