Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"November, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 02:49:46 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
11/05/2008 04,11/05/2008 09,0,57189.902,4480.4,0,4480.4
11/05/2008 05,11/05/2008 10,0,58258.398,4483,0,4483
11/05/2008 06,11/05/2008 11,0,62837.777,4445,0,4445
11/05/2008 07,11/05/2008 12,0.1,70766.649,4501.4,450.14,4501.4
11/05/2008 08,11/05/2008 13,0.1,75024.788,4515.4,451.54,4515.4
11/05/2008 09,11/05/2008 14,0.1,76119.469,4530.3,453.03,4530.3
11/05/2008 10,11/05/2008 15,0.1,76527.518,4528.1,452.81,4528.1
11/05/2008 11,11/05/2008 16,0.1,77168.538,4493.3,449.33,4493.3
11/05/2008 12,11/05/2008 17,0.1,77345.325,4498.3,449.83,4498.3
11/05/2008 13,11/05/2008 18,0.1,77133.822,4519.2,451.92,4519.2
11/05/2008 14,11/05/2008 19,0.1,77037.025,4522.1,452.21,4522.1
11/05/2008 15,11/05/2008 20,0.1,76492.632,4525.2,452.52,4525.2
11/05/2008 16,11/05/2008 21,0.1,76083.128,4514.9,451.49,4514.9
11/05/2008 17,11/05/2008 22,0.1,77191.85,4503.1,450.31,4503.1
11/05/2008 18,11/05/2008 23,0.15,81219.485,4478,671.76,4478
11/05/2008 19,11/06/2008 00,0.19,82718.676,4454.3,846.33,4454.3
11/05/2008 20,11/06/2008 01,0.19,81346.562,4453.3,846.13,4453.3
11/05/2008 21,11/06/2008 02,0.1,78935.741,4503.5,450.35,4503.5
11/05/2008 22,11/06/2008 03,0.1,75031.051,4489.3,448.93,4489.3
11/05/2008 23,11/06/2008 04,0.09,69468.343,4511.8,406.08,4511.8
11/05/2008 24,11/06/2008 05,0,64010.968,4493.4,0,4493.4
11/06/2008 01,11/06/2008 06,0,59952.118,4878,0,4878
11/06/2008 02,11/06/2008 07,0,57909.901,4877.9,0,4877.9
11/06/2008 03,11/06/2008 08,0,56867.16,4879.3,0,4879.3
11/06/2008 04,11/06/2008 09,0,56656.026,4877.4,0,4877.4
11/06/2008 05,11/06/2008 10,0,57791.522,4876.8,0,4876.8
11/06/2008 06,11/06/2008 11,0,62290.576,4866.9,0,4866.9
11/06/2008 07,11/06/2008 12,0.1,70420.221,4836.8,483.68,4836.8
11/06/2008 08,11/06/2008 13,0.1,74896.231,4798.5,479.85,4798.5
11/06/2008 09,11/06/2008 14,0.1,76273.567,4692.3,469.23,4692.3
11/06/2008 10,11/06/2008 15,0.1,76941.312,4693.1,469.31,4693.1
11/06/2008 11,11/06/2008 16,0.1,77439.678,4676,467.6,4676
11/06/2008 12,11/06/2008 17,0.1,77502.167,4725.1,472.51,4725.1
11/06/2008 13,11/06/2008 18,0.1,77338.091,4801,480.1,4801
11/06/2008 14,11/06/2008 19,0.1,77117.932,4797,479.7,4797
11/06/2008 15,11/06/2008 20,0.1,76795.766,4793.4,479.34,4793.4
11/06/2008 16,11/06/2008 21,0.1,76380.159,4779.4,477.94,4779.4
11/06/2008 17,11/06/2008 22,0.1,77429.06,4783,478.3,4783
11/06/2008 18,11/06/2008 23,0.1,81572.655,4733.8,473.38,4733.8
11/06/2008 19,11/07/2008 00,0.1,82607.612,4757.8,475.78,4757.8
11/06/2008 20,11/07/2008 01,0.1,80985.373,4804.7,480.47,4804.7
11/06/2008 21,11/07/2008 02,0.1,78784.333,4818,481.8,4818
11/06/2008 22,11/07/2008 03,0.1,74856.841,4819.2,481.92,4819.2
11/06/2008 23,11/07/2008 04,0.09,69571.133,4858.7,437.31,4858.7
11/06/2008 24,11/07/2008 05,0,63963.15,4748.5,0,4748.5
11/07/2008 01,11/07/2008 06,0,59951.024,4773.5,0,4773.5
11/07/2008 02,11/07/2008 07,0,57526.506,4795.4,0,4795.4
11/07/2008 03,11/07/2008 08,0,56439.6,4783.1,0,4783.1
11/07/2008 04,11/07/2008 09,0,55995.516,4795.1,0,4795.1
11/07/2008 05,11/07/2008 10,0,57322.628,4799.3,0,4799.3
11/07/2008 06,11/07/2008 11,0,61451.196,4791.7,0,4791.7
11/07/2008 07,11/07/2008 12,0.1,69040.589,4762.8,476.28,4762.8
11/07/2008 08,11/07/2008 13,0.1,73331.779,4764.5,476.45,4764.5
11/07/2008 09,11/07/2008 14,0.1,74893.365,4767.8,476.78,4767.8
