Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"April, 2009 ",Report Creation Timestamp (EPT):, 07/07/2010 01:50:56 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
04/05/2009 06,04/05/2009 10,0,56115.911,4444.4,0,4444.4
04/05/2009 07,04/05/2009 11,0,58277.744,4442.3,0,4442.3
04/05/2009 08,04/05/2009 12,0,60484.642,4437.3,0,4437.3
04/05/2009 09,04/05/2009 13,0,62688.982,4436.4,0,4436.4
04/05/2009 10,04/05/2009 14,0.01,64055.714,4438,44.4,4438
04/05/2009 11,04/05/2009 15,0.01,63806.668,4438,44.4,4438
04/05/2009 12,04/05/2009 16,0,63270.996,4438.4,0,4438.4
04/05/2009 13,04/05/2009 17,0,62614.143,4440.5,0,4440.5
04/05/2009 14,04/05/2009 18,0,62043.848,4441.9,0,4441.9
04/05/2009 15,04/05/2009 19,0,61366.627,4441.3,0,4441.3
04/05/2009 16,04/05/2009 20,0,61407.221,4442.4,0,4442.4
04/05/2009 17,04/05/2009 21,0,61968.826,4395.7,0,4395.7
04/05/2009 18,04/05/2009 22,0,62896.036,4391.9,0,4391.9
04/05/2009 19,04/05/2009 23,0,63877.447,4392.8,0,4392.8
04/05/2009 20,04/06/2009 00,0.04,66537.138,4412.8,176.53,4412.8
04/05/2009 21,04/06/2009 01,0.05,70182.137,4446.6,222.44,4446.6
04/05/2009 22,04/06/2009 02,0.01,68411.239,4352.7,43.56,4352.7
04/05/2009 23,04/06/2009 03,0,64273.489,4405.8,0,4405.8
04/05/2009 24,04/06/2009 04,0,60037.513,4400.1,0,4400.1
04/06/2009 01,04/06/2009 05,0,56381.603,4616.9,0,4616.9
04/06/2009 02,04/06/2009 06,0,54393.562,4710.2,0,4710.2
04/06/2009 03,04/06/2009 07,0,53701.903,4710,0,4710
04/06/2009 04,04/06/2009 08,0,53533.355,4563.4,0,4563.4
04/06/2009 05,04/06/2009 09,0,54813.715,4713.4,0,4713.4
04/06/2009 06,04/06/2009 10,0,59258.659,4677.8,0,4677.8
04/06/2009 07,04/06/2009 11,0,67090.876,4696.1,0,4696.1
04/06/2009 08,04/06/2009 12,0.04,72578.509,4651.4,186.05,4651.4
04/06/2009 09,04/06/2009 13,0.04,74847.306,4653.3,186.15,4653.3
04/06/2009 10,04/06/2009 14,0.04,76551.367,4628.2,185.16,4628.2
04/06/2009 11,04/06/2009 15,0.04,77745.069,4628.1,185.13,4628.1
04/06/2009 12,04/06/2009 16,0.04,78416.367,4651.3,186.1,4651.3
04/06/2009 13,04/06/2009 17,0.04,77978.237,4636.5,185.5,4636.5
04/06/2009 14,04/06/2009 18,0,77501.691,4633.9,0,4633.9
04/06/2009 15,04/06/2009 19,0,76682.205,4630,0,4630
04/06/2009 16,04/06/2009 20,0,75993.949,4603.6,0,4603.6
04/06/2009 17,04/06/2009 21,0,75694.054,4620.8,0,4620.8
04/06/2009 18,04/06/2009 22,0,75923.727,4640.1,0,4640.1
04/06/2009 19,04/06/2009 23,0,76220.23,4644,0,4644
04/06/2009 20,04/07/2009 00,0.04,77796.315,4640.6,185.64,4640.6
04/06/2009 21,04/07/2009 01,0.05,80035.964,4651.5,232.72,4651.5
04/06/2009 22,04/07/2009 02,0,77988.563,4579.4,0,4579.4
04/06/2009 23,04/07/2009 03,0,73191.692,4580.6,0,4580.6
04/06/2009 24,04/07/2009 04,0,68066.131,4503,0,4503
04/07/2009 01,04/07/2009 05,0,63845.794,4315.6,0,4315.6
04/07/2009 02,04/07/2009 06,0,62135.33,4552,0,4552
04/07/2009 03,04/07/2009 07,0,61608.582,4545.9,0,4545.9
04/07/2009 04,04/07/2009 08,0,61598.001,4520.3,0,4520.3
04/07/2009 05,04/07/2009 09,0,63434.622,4656.2,0,4656.2
04/07/2009 06,04/07/2009 10,0,68180.604,4599.7,0,4599.7
04/07/2009 07,04/07/2009 11,0.01,76088.746,4432.1,44.34,4432.1
04/07/2009 08,04/07/2009 12,0.04,80856.514,4427.2,177.11,4427.2
04/07/2009 09,04/07/2009 13,0.04,81824.788,4442.4,177.71,4442.4
04/07/2009 10,04/07/2009 14,0.04,82058.57,4376.5,175.09,4376.5
04/07/2009 11,04/07/2009 15,0.04,82251.627,4393.1,175.74,4393.1
04/07/2009 12,04/07/2009 16,0.04,81906.184,4413.5,176.58,4413.5
04/07/2009 13,04/07/2009 17,0.04,81311.037,4373.5,174.99,4373.5
04/07/2009 14,04/07/2009 18,0,80272.914,4372.3,0,4372.3
04/07/2009 15,04/07/2009 19,0,79404.792,4356.5,0,4356.5
04/07/2009 16,04/07/2009 20,0,78498.408,4474.8,0,4474.8
04/07/2009 17,04/07/2009 21,0,78550.455,4428.3,0,4428.3
04/07/2009 18,04/07/2009 22,0,79090.477,4405.4,0,4405.4
04/07/2009 19,04/07/2009 23,0,79642.09,4426.8,0,4426.8
04/07/2009 20,04/08/2009 00,0.04,81857.133,4375.5,175.01,4375.5
04/07/2009 21,04/08/2009 01,0.04,84164.194,4374.9,175,4374.9
