Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"December, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 03:51:48 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
12/10/2008 10,12/10/2008 15,0.1,83631.155,5208.4,520.84,5208.4
12/10/2008 11,12/10/2008 16,0.1,83755.349,5208.6,520.86,5208.6
12/10/2008 12,12/10/2008 17,0.1,83525.499,5208.6,520.86,5208.6
12/10/2008 13,12/10/2008 18,0.1,83316.11,5208.5,520.85,5208.5
12/10/2008 14,12/10/2008 19,0.1,83075.047,5208.5,520.85,5208.5
12/10/2008 15,12/10/2008 20,0.1,82620.299,5208.8,520.88,5208.8
12/10/2008 16,12/10/2008 21,0.09,82919.778,5208.4,468.75,5208.4
12/10/2008 17,12/10/2008 22,0.1,85949.359,5209.3,520.93,5209.3
12/10/2008 18,12/10/2008 23,0.1,91148.43,5209.9,520.99,5209.9
12/10/2008 19,12/11/2008 00,0.1,92011.898,5209.4,520.94,5209.4
12/10/2008 20,12/11/2008 01,0.1,90662.993,5209.5,520.95,5209.5
12/10/2008 21,12/11/2008 02,0.1,89095.265,5209.2,520.92,5209.2
12/10/2008 22,12/11/2008 03,0.1,85715.17,5208.7,520.87,5208.7
12/10/2008 23,12/11/2008 04,0.09,79870.499,5190.8,467.18,5190.8
12/10/2008 24,12/11/2008 05,0,73319.992,5222.1,0,5222.1
12/11/2008 01,12/11/2008 06,0,68557.537,5705.2,0,5705.2
12/11/2008 02,12/11/2008 07,0,66039.919,5680.1,0,5680.1
12/11/2008 03,12/11/2008 08,0,64814.713,5708.4,0,5708.4
12/11/2008 04,12/11/2008 09,0,64857.63,5709.4,0,5709.4
12/11/2008 05,12/11/2008 10,0,66443.951,5708.7,0,5708.7
12/11/2008 06,12/11/2008 11,0,71349.836,5708.2,0,5708.2
12/11/2008 07,12/11/2008 12,0.1,79918.033,5732.6,573.26,5732.6
12/11/2008 08,12/11/2008 13,0.1,86306.135,5704.6,570.46,5704.6
12/11/2008 09,12/11/2008 14,0.1,87416.942,5757.9,575.79,5757.9
12/11/2008 10,12/11/2008 15,0.1,87934.019,5756.7,575.67,5756.7
12/11/2008 11,12/11/2008 16,0.1,88241.037,5757.6,575.76,5757.6
12/11/2008 12,12/11/2008 17,0.1,88216.702,5758.9,575.9,5758.9
12/11/2008 13,12/11/2008 18,0.1,88026.185,5759.3,575.92,5759.3
12/11/2008 14,12/11/2008 19,0.1,88069.974,5759.4,575.94,5759.4
12/11/2008 15,12/11/2008 20,0.1,87775.411,5749.3,574.93,5749.3
12/11/2008 16,12/11/2008 21,0.1,88515.281,5742.399,574.24,5742.399
12/11/2008 17,12/11/2008 22,0.1,91856.012,5751.9,575.19,5751.9
12/11/2008 18,12/11/2008 23,0.1,96241.336,5712.6,571.26,5712.6
12/11/2008 19,12/12/2008 00,0.1,97166.698,5709.9,570.99,5709.9
12/11/2008 20,12/12/2008 01,0.1,95856.363,5713.3,571.33,5713.3
12/11/2008 21,12/12/2008 02,0.1,94291.704,5734.5,573.45,5734.5
12/11/2008 22,12/12/2008 03,0.1,90719.186,5756.2,575.62,5756.2
12/11/2008 23,12/12/2008 04,0.1,84953.398,5733.2,573.32,5733.2
12/11/2008 24,12/12/2008 05,0.09,78452.298,5756.5,518.1,5756.5
12/12/2008 01,12/12/2008 06,0,73268.994,5615.8,0,5615.8
12/12/2008 02,12/12/2008 07,0,70641.528,5564.1,0,5564.1
12/12/2008 03,12/12/2008 08,0,69320.926,5594.8,0,5594.8
12/12/2008 04,12/12/2008 09,0,68951.637,5595.1,0,5595.1
12/12/2008 05,12/12/2008 10,0,70552.362,5649.8,0,5649.8
12/12/2008 06,12/12/2008 11,0,75000.176,5669.7,0,5669.7
12/12/2008 07,12/12/2008 12,0.1,83113.466,5656.1,565.61,5656.1
12/12/2008 08,12/12/2008 13,0.1,88893.442,5690.4,569.04,5690.4
