Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"October, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 02:30:01 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
10/07/2008 09,10/07/2008 13,0.14,75106.676,4840.9,677.73,4840.9
10/07/2008 10,10/07/2008 14,0.15,75562.48,4819.5,723,4819.5
10/07/2008 11,10/07/2008 15,0.15,76325.939,4798.2,719.92,4798.2
10/07/2008 12,10/07/2008 16,0.15,76678.231,4796.1,719.54,4796.1
10/07/2008 13,10/07/2008 17,0.15,76753.288,4890.1,733.58,4890.1
10/07/2008 14,10/07/2008 18,0.15,76953.265,4894.2,734.25,4894.2
10/07/2008 15,10/07/2008 19,0.15,76884.896,4902.4,735.49,4902.4
10/07/2008 16,10/07/2008 20,0.15,76494.675,4893.4,734.09,4893.4
10/07/2008 17,10/07/2008 21,0.15,76363.971,4898.1,734.8,4898.1
10/07/2008 18,10/07/2008 22,0.15,76467.235,4830.7,724.78,4830.7
10/07/2008 19,10/07/2008 23,0.15,77516.514,4883,732.57,4883
10/07/2008 20,10/08/2008 00,0.15,80944.98,4893.8,734.18,4893.8
10/07/2008 21,10/08/2008 01,0.15,79875.814,4894,734.21,4894
10/07/2008 22,10/08/2008 02,0.14,75969.045,4814.3,674.03,4814.3
10/07/2008 23,10/08/2008 03,0.14,70350.434,4616.6,646.3,4616.6
10/07/2008 24,10/08/2008 04,0,64440.873,4644.9,0,4644.9
10/08/2008 01,10/08/2008 05,0.13,60080.546,4645.2,603.9,4645.2
10/08/2008 02,10/08/2008 06,0.13,57543.187,4798.3,623.79,4798.3
10/08/2008 03,10/08/2008 07,0,56296.527,4798.8,0,4798.8
10/08/2008 04,10/08/2008 08,0,55909.235,4799.1,0,4799.1
10/08/2008 05,10/08/2008 09,0.13,56825.766,4798.3,623.79,4798.3
10/08/2008 06,10/08/2008 10,0.13,60874.321,4798.3,623.82,4798.3
10/08/2008 07,10/08/2008 11,0.14,69350.154,4798.3,671.81,4798.3
10/08/2008 08,10/08/2008 12,0.14,74503.691,4793.4,671.12,4793.4
10/08/2008 09,10/08/2008 13,0.13,75625.074,4818.8,626.45,4818.8
10/08/2008 10,10/08/2008 14,0.13,76373.384,4746.6,617.08,4746.6
10/08/2008 11,10/08/2008 15,0.13,77200.878,4775.4,620.84,4775.4
10/08/2008 12,10/08/2008 16,0.13,77672.053,4799.1,623.9,4799.1
10/08/2008 13,10/08/2008 17,0.13,77709.377,4820.1,626.63,4820.1
10/08/2008 14,10/08/2008 18,0.13,77541.637,4839.4,629.13,4839.4
10/08/2008 15,10/08/2008 19,0.13,77083.429,4815.6,626.04,4815.6
10/08/2008 16,10/08/2008 20,0.13,76581.569,4811.2,625.47,4811.2
10/08/2008 17,10/08/2008 21,0.13,76716.6,4810.2,625.34,4810.2
10/08/2008 18,10/08/2008 22,0.13,77150.76,4783.2,621.83,4783.2
10/08/2008 19,10/08/2008 23,0.14,78377.267,4809,673.23,4809
10/08/2008 20,10/09/2008 00,0.15,80601.936,4808.5,721.41,4808.5
10/08/2008 21,10/09/2008 01,0.14,79712.742,4837.1,677.18,4837.1
10/08/2008 22,10/09/2008 02,0.13,75925.468,4763.7,619.3,4763.7
10/08/2008 23,10/09/2008 03,0.13,70247.227,4738.2,615.99,4738.2
10/08/2008 24,10/09/2008 04,0.13,64478.406,4738.2,615.99,4738.2
10/09/2008 01,10/09/2008 05,0,59972.466,4883.3,0,4883.3
10/09/2008 02,10/09/2008 06,0,57563.108,4882.3,0,4882.3
10/09/2008 03,10/09/2008 07,0,56215.524,4882.4,0,4882.4
10/09/2008 04,10/09/2008 08,0,55713.109,4883.9,0,4883.9
10/09/2008 05,10/09/2008 09,0,56476.646,4883.6,0,4883.6
10/09/2008 06,10/09/2008 10,0,60259.241,4882.5,0,4882.5
10/09/2008 07,10/09/2008 11,0.12,67872.843,4882.2,585.86,4882.2
10/09/2008 08,10/09/2008 12,0.13,73156.151,4882.2,634.72,4882.2
10/09/2008 09,10/09/2008 13,0.13,74770.063,4902.9,637.38,4902.9
10/09/2008 10,10/09/2008 14,0.12,76146.501,4883,586,4883
10/09/2008 11,10/09/2008 15,0.13,77834.958,4846,630.02,4846
10/09/2008 12,10/09/2008 16,0.13,78983.766,4855.2,631.21,4855.2
10/09/2008 13,10/09/2008 17,0.13,79730.284,4855.2,631.19,4855.2
10/09/2008 14,10/09/2008 18,0.13,80382.134,4889.8,635.69,4889.8
10/09/2008 15,10/09/2008 19,0.13,80627.018,4889.9,635.71,4889.9
10/09/2008 16,10/09/2008 20,0.13,80460.069,4855,631.21,4855
10/09/2008 17,10/09/2008 21,0.13,80042.626,4855,631.2,4855
10/09/2008 18,10/09/2008 22,0.13,79363.368,4855.1,631.18,4855.1
10/09/2008 19,10/09/2008 23,0.15,79559.888,4884.7,732.82,4884.7
10/09/2008 20,10/10/2008 00,0.15,82509.191,4884.1,732.74,4884.1
10/09/2008 21,10/10/2008 01,0.15,81598.322,4844.4,726.8,4844.4
10/09/2008 22,10/10/2008 02,0.12,77694.706,4844.2,581.28,4844.2
10/09/2008 23,10/10/2008 03,0.12,71910.952,4822.2,578.64,4822.2
10/09/2008 24,10/10/2008 04,0,65721.519,4823.9,0,4823.9
10/10/2008 01,10/10/2008 05,0,60751.115,4583.9,0,4583.9
10/10/2008 02,10/10/2008 06,0,57986.762,4640.5,0,4640.5
10/10/2008 03,10/10/2008 07,0,56327.208,4643.9,0,4643.9
10/10/2008 04,10/10/2008 08,0,55566.586,4642.3,0,4642.3
10/10/2008 05,10/10/2008 09,0,56043.531,4641.2,0,4641.2
10/10/2008 06,10/10/2008 10,0,59823.949,4638.3,0,4638.3
10/10/2008 07,10/10/2008 11,0.12,67409.731,4579.9,549.57,4579.9
10/10/2008 08,10/10/2008 12,0.12,72476.909,4509.3,541.15,4509.3
10/10/2008 09,10/10/2008 13,0.12,74183.568,4558,547,4558
10/10/2008 10,10/10/2008 14,0.12,76062.37,4510.4,541.29,4510.4
10/10/2008 11,10/10/2008 15,0.13,77681.68,4478.4,582.24,4478.4
10/10/2008 12,10/10/2008 16,0.13,78312.689,4478.4,582.25,4478.4
10/10/2008 13,10/10/2008 17,0.13,78821.09,4478.3,582.2,4478.3
10/10/2008 14,10/10/2008 18,0.13,79021.691,4476.8,582.05,4476.8
10/10/2008 15,10/10/2008 19,0.13,79128.397,4418.1,574.36,4418.1
10/10/2008 16,10/10/2008 20,0.13,78758.402,4418.3,574.42,4418.3
10/10/2008 17,10/10/2008 21,0.13,78471.786,4418.4,574.4,4418.4
10/10/2008 18,10/10/2008 22,0.13,77367.574,4418.1,574.34,4418.1
10/10/2008 19,10/10/2008 23,0.13,76459.372,4405.4,572.74,4405.4
10/10/2008 20,10/11/2008 00,0.15,77985.089,4445.8,667,4445.8
10/10/2008 21,10/11/2008 01,0.13,76355.858,4467.3,580.79,4467.3
10/10/2008 22,10/11/2008 02,0.12,73386.787,4562.3,547.52,4562.3
10/10/2008 23,10/11/2008 03,0.12,68659.776,4591.5,550.98,4591.5
10/10/2008 24,10/11/2008 04,0,63198.435,4697.3,0,4697.3
10/11/2008 01,10/11/2008 05,0.12,58732.005,4405.1,528.6,4405.1
10/11/2008 02,10/11/2008 06,0,55676.097,4417.1,0,4417.1
10/11/2008 03,10/11/2008 07,0,53965.39,4240.6,0,4240.6
10/11/2008 04,10/11/2008 08,0.11,53051.034,4235.3,465.93,4235.3
10/11/2008 05,10/11/2008 09,0.11,52860.415,4235.2,465.9,4235.2
10/11/2008 06,10/11/2008 10,0.11,54095.024,4235.3,465.91,4235.3
10/11/2008 07,10/11/2008 11,0.12,56805.619,4235.2,508.21,4235.2
10/11/2008 08,10/11/2008 12,0.12,59649.235,4235.3,508.25,4235.3
10/11/2008 09,10/11/2008 13,0.12,63042.34,4415.5,529.84,4415.5
10/11/2008 10,10/11/2008 14,0.13,66153.62,4411.4,573.48,4411.4
10/11/2008 11,10/11/2008 15,0.13,68023.607,4431.3,576.07,4431.3
10/11/2008 12,10/11/2008 16,0.13,68914.291,4431.2,576.12,4431.2
10/11/2008 13,10/11/2008 17,0.13,68991.933,4431.2,576.11,4431.2
10/11/2008 14,10/11/2008 18,0.13,68967.758,4251.3,552.69,4251.3
10/11/2008 15,10/11/2008 19,0.13,68931.125,4251.2,552.66,4251.2
10/11/2008 16,10/11/2008 20,0.13,69073.11,4251.2,552.7,4251.2
10/11/2008 17,10/11/2008 21,0.13,69412.025,4381.2,569.61,4381.2
10/11/2008 18,10/11/2008 22,0.13,69340.937,4361.5,567.04,4361.5
10/11/2008 19,10/11/2008 23,0.13,69857.189,4377.6,569.1,4377.6
10/11/2008 20,10/12/2008 00,0.15,72611.164,4378.9,656.92,4378.9
10/11/2008 21,10/12/2008 01,0.13,71468.14,4377.8,569.17,4377.8
10/11/2008 22,10/12/2008 02,0.12,68799.645,4377.9,525.35,4377.9
10/11/2008 23,10/12/2008 03,0.12,64961.831,4365,523.81,4365
10/11/2008 24,10/12/2008 04,0.12,60474.9,4365.3,523.83,4365.3
10/12/2008 01,10/12/2008 05,0.1,56613.974,4486,448.6,4486
10/12/2008 02,10/12/2008 06,0.1,54033.15,4486,448.6,4486
10/12/2008 03,10/12/2008 07,0.1,52416.701,4486,448.6,4486
10/12/2008 04,10/12/2008 08,0.1,51512.677,4485.9,448.59,4485.9
10/12/2008 05,10/12/2008 09,0.1,51312.581,4486.1,448.61,4486.1
10/12/2008 06,10/12/2008 10,0.1,51909.227,4486,448.6,4486
10/12/2008 07,10/12/2008 11,0.1,53846.18,4476.9,447.69,4476.9
10/12/2008 08,10/12/2008 12,0.1,55869.318,4476.9,447.69,4476.9
10/12/2008 09,10/12/2008 13,0.12,59025.266,4486.4,538.35,4486.4
10/12/2008 10,10/12/2008 14,0.12,61984.267,4483.4,538,4483.4
10/12/2008 11,10/12/2008 15,0.13,63893.225,4647.2,604.15,4647.2
10/12/2008 12,10/12/2008 16,0.13,65330.773,4662.9,606.24,4662.9
10/12/2008 13,10/12/2008 17,0.13,66780.769,4677.2,608.09,4677.2
10/12/2008 14,10/12/2008 18,0.13,67522.244,4677.3,608.06,4677.3
10/12/2008 15,10/12/2008 19,0.13,68361.034,4502.1,585.26,4502.1
10/12/2008 16,10/12/2008 20,0.13,69089.422,4502,585.31,4502
10/12/2008 17,10/12/2008 21,0.13,70117.608,4502.2,585.34,4502.2
10/12/2008 18,10/12/2008 22,0.13,70729.516,4502.2,585.35,4502.2
10/12/2008 19,10/12/2008 23,0.13,71586.708,4502.2,585.3,4502.2
10/12/2008 20,10/13/2008 00,0.2,74729.41,4502.2,900.44,4502.2
10/12/2008 21,10/13/2008 01,0.15,73845.437,4502.4,675.47,4502.4
10/12/2008 22,10/13/2008 02,0.13,70272.784,4442.3,577.55,4442.3
10/12/2008 23,10/13/2008 03,0.12,65973.131,4426,531.11,4426
10/12/2008 24,10/13/2008 04,0.12,61293.11,4306,516.69,4306
10/13/2008 01,10/13/2008 05,0.1,57576.229,4991.8,499.18,4991.8
10/13/2008 02,10/13/2008 06,0.1,55410.895,5041,504.1,5041
10/13/2008 03,10/13/2008 07,0.1,54289.307,5080.8,508.08,5080.8
10/13/2008 04,10/13/2008 08,0.1,53807.36,5092,509.2,5092
10/13/2008 05,10/13/2008 09,0.1,54833.689,5012.3,501.23,5012.3
10/13/2008 06,10/13/2008 10,0.12,58406.447,4980.6,597.68,4980.6
10/13/2008 07,10/13/2008 11,0.12,65573.771,4927.6,591.32,4927.6
10/13/2008 08,10/13/2008 12,0.12,71009.568,4992.6,599.08,4992.6
10/13/2008 09,10/13/2008 13,0.12,73255.515,5007.4,600.89,5007.4
10/13/2008 10,10/13/2008 14,0.13,75551.096,5127,666.52,5127
10/13/2008 11,10/13/2008 15,0.13,77481.625,5122,665.85,5122
10/13/2008 12,10/13/2008 16,0.13,78706.643,5130.8,667.06,5130.8
10/13/2008 13,10/13/2008 17,0.13,79654.801,5118.9,665.51,5118.9
10/13/2008 14,10/13/2008 18,0.13,80390.877,5113.4,664.75,5113.4
10/13/2008 15,10/13/2008 19,0.19,81102.382,5113.5,971.58,5113.5
10/13/2008 16,10/13/2008 20,0.13,81405.242,5063.5,658.29,5063.5
10/13/2008 17,10/13/2008 21,0.15,81545.714,5068.3,760.35,5068.3
10/13/2008 18,10/13/2008 22,0.13,81353.873,5067.9,658.87,5067.9
