Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"November, 2012 ",Report Creation Timestamp (EPT):, 03/26/2013 11:15:01 AM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
11/08/2012 05,11/08/2012 10,0,76133.821,4724.2,0,4724.2
11/08/2012 06,11/08/2012 11,0.02,81503.442,4734.1,94.69,4734.1
11/08/2012 07,11/08/2012 12,0.04,90143.873,5074.2,202.96,5074.2
11/08/2012 08,11/08/2012 13,0.05,94144.001,5974.8,298.89,5974.8
11/08/2012 09,11/08/2012 14,0.02,94298.084,6389.6,127.81,6389.6
11/08/2012 10,11/08/2012 15,0.02,93132.178,6346.8,126.96,6346.8
11/08/2012 11,11/08/2012 16,0.02,91864.443,6292.1,125.86,6292.1
11/08/2012 12,11/08/2012 17,0.02,90157.774,6362.4,127.27,6362.4
11/08/2012 13,11/08/2012 18,0.01,88527.416,6374.6,63.74,6374.6
11/08/2012 14,11/08/2012 19,0,87220.636,6452.2,0,6452.2
11/08/2012 15,11/08/2012 20,0,85947.902,6379.6,0,6379.6
11/08/2012 16,11/08/2012 21,0,85512.205,6397.9,0,6397.9
11/08/2012 17,11/08/2012 22,0,87334.225,6346,0,6346
11/08/2012 18,11/08/2012 23,0.05,93540.484,5028.5,251.57,5028.5
11/08/2012 19,11/09/2012 00,0.05,96418.769,5058.5,253.11,5058.5
11/08/2012 20,11/09/2012 01,0.04,95935.105,5072.6,202.88,5072.6
11/08/2012 21,11/09/2012 02,0.02,94487.078,5057.5,101.16,5057.5
11/08/2012 22,11/09/2012 03,0.02,90923.698,5122.5,102.48,5122.5
11/08/2012 23,11/09/2012 04,0,85786.723,4747.9,0,4747.9
11/08/2012 24,11/09/2012 05,0,80430.09,4868.2,0,4868.2
11/09/2012 01,11/09/2012 06,0,76782.114,4629.3,0,4629.3
11/09/2012 02,11/09/2012 07,0,74893.502,4675.3,0,4675.3
11/09/2012 03,11/09/2012 08,0,74053.599,4675.3,0,4675.3
11/09/2012 04,11/09/2012 09,0,74130.773,4918.3,0,4918.3
11/09/2012 05,11/09/2012 10,0,76210.49,4648.4,0,4648.4
11/09/2012 06,11/09/2012 11,0,81404.069,4603.8,0,4603.8
11/09/2012 07,11/09/2012 12,0,89896.813,4944.1,0,4944.1
11/09/2012 08,11/09/2012 13,0.01,93289.107,5830.5,58.35,5830.5
11/09/2012 09,11/09/2012 14,0,92617.121,6177.7,0,6177.7
11/09/2012 10,11/09/2012 15,0,90696.942,6152.4,0,6152.4
11/09/2012 11,11/09/2012 16,0,89092.244,6108,0,6108
11/09/2012 12,11/09/2012 17,0,87219.274,6104.2,0,6104.2
11/09/2012 13,11/09/2012 18,0,85526.508,6219.8,0,6219.8
11/09/2012 14,11/09/2012 19,0,84351.825,6245.3,0,6245.3
11/09/2012 15,11/09/2012 20,0,83037.692,6267.3,0,6267.3
11/09/2012 16,11/09/2012 21,0,82357.608,6135.9,0,6135.9
11/09/2012 17,11/09/2012 22,0,83273.885,5914.7,0,5914.7
11/09/2012 18,11/09/2012 23,0.02,88732.631,5000.9,99.98,5000.9
11/09/2012 19,11/10/2012 00,0.02,90231.813,4999.8,99.95,4999.8
11/09/2012 20,11/10/2012 01,0.01,89065.878,5002.1,50.09,5002.1
11/09/2012 21,11/10/2012 02,0,87372.112,5153.7,0,5153.7
11/09/2012 22,11/10/2012 03,0,84653.431,5381.9,0,5381.9
11/09/2012 23,11/10/2012 04,0,80589.305,5030.7,0,5030.7
11/09/2012 24,11/10/2012 05,0,75708.894,5023.6,0,5023.6
11/10/2012 01,11/10/2012 06,0,71891.545,4462.5,0,4462.5
11/10/2012 02,11/10/2012 07,0,69688.98,4392.2,0,4392.2
11/10/2012 03,11/10/2012 08,0,68594.723,4499.9,0,4499.9
11/10/2012 04,11/10/2012 09,0,68249.34,4464.9,0,4464.9
11/10/2012 05,11/10/2012 10,0,68896.117,4500,0,4500
11/10/2012 06,11/10/2012 11,0,71168.426,4352.9,0,4352.9
11/10/2012 07,11/10/2012 12,0,74452.241,4416.9,0,4416.9
11/10/2012 08,11/10/2012 13,0,77222.759,4489.2,0,4489.2
11/10/2012 09,11/10/2012 14,0,79072.644,4290.9,0,4290.9
11/10/2012 10,11/10/2012 15,0,79655.163,4504.9,0,4504.9
11/10/2012 11,11/10/2012 16,0,79007.827,4416.9,0,4416.9
11/10/2012 12,11/10/2012 17,0,77595.392,4390.9,0,4390.9
11/10/2012 13,11/10/2012 18,0,76193.97,4490.9,0,4490.9
11/10/2012 14,11/10/2012 19,0,74860.783,4506.9,0,4506.9
11/10/2012 15,11/10/2012 20,0,73764.533,4485.9,0,4485.9
11/10/2012 16,11/10/2012 21,0,73139.764,4515.9,0,4515.9
11/10/2012 17,11/10/2012 22,0,74473.033,4404.9,0,4404.9
11/10/2012 18,11/10/2012 23,0,79750.454,4196.9,0,4196.9
11/10/2012 19,11/11/2012 00,0.01,81539.608,4205.7,42.11,4205.7
11/10/2012 20,11/11/2012 01,0,80438.882,4224.9,0,4224.9
11/10/2012 21,11/11/2012 02,0,78916.526,4392.9,0,4392.9
11/10/2012 22,11/11/2012 03,0,76579.545,4224.9,0,4224.9
11/10/2012 23,11/11/2012 04,0.01,73743.245,4472.9,44.78,4472.9
11/10/2012 24,11/11/2012 05,0,69903.407,4445.3,0,4445.3
11/11/2012 01,11/11/2012 06,0,66168.762,5240.2,0,5240.2
11/11/2012 02,11/11/2012 07,0,63957.008,5245.7,0,5245.7
11/11/2012 03,11/11/2012 08,0,62952.661,5136.3,0,5136.3
11/11/2012 04,11/11/2012 09,0,62561.131,5240.3,0,5240.3
11/11/2012 05,11/11/2012 10,0,63115.195,5240.2,0,5240.2
11/11/2012 06,11/11/2012 11,0,64584.03,5208.8,0,5208.8
11/11/2012 07,11/11/2012 12,0,67147.747,5278.1,0,5278.1
11/11/2012 08,11/11/2012 13,0,69333.413,5122.1,0,5122.1
11/11/2012 09,11/11/2012 14,0,71586.924,5039.6,0,5039.6
11/11/2012 10,11/11/2012 15,0,72170.069,5061.2,0,5061.2
11/11/2012 11,11/11/2012 16,0,71700.718,5067.3,0,5067.3
11/11/2012 12,11/11/2012 17,0,71246.938,5165.7,0,5165.7
11/11/2012 13,11/11/2012 18,0,70911.25,5149.2,0,5149.2
11/11/2012 14,11/11/2012 19,0,70370.619,5165.3,0,5165.3
11/11/2012 15,11/11/2012 20,0,69919.559,5130.3,0,5130.3
11/11/2012 16,11/11/2012 21,0,70190.539,5246.5,0,5246.5
11/11/2012 17,11/11/2012 22,0,72533.943,4590.8,0,4590.8
11/11/2012 18,11/11/2012 23,0.02,79136.209,4798.1,95.91,4798.1
11/11/2012 19,11/12/2012 00,0.02,81032.788,4853.9,97.03,4853.9
11/11/2012 20,11/12/2012 01,0.02,80133.777,4694.3,93.83,4694.3
11/11/2012 21,11/12/2012 02,0.02,78480.597,4739.2,94.73,4739.2
11/11/2012 22,11/12/2012 03,0.01,75364.783,4771.3,47.73,4771.3
11/11/2012 23,11/12/2012 04,0,71319.387,5040.6,0,5040.6
11/11/2012 24,11/12/2012 05,0,67255.59,5218.4,0,5218.4
11/12/2012 01,11/12/2012 06,0,64125.737,5497.5,0,5497.5
11/12/2012 02,11/12/2012 07,0,62318.628,5497.5,0,5497.5
11/12/2012 03,11/12/2012 08,0,61689.597,5497.5,0,5497.5
11/12/2012 04,11/12/2012 09,0,61803.538,5497.5,0,5497.5
11/12/2012 05,11/12/2012 10,0,63675.123,5497.5,0,5497.5
11/12/2012 06,11/12/2012 11,0,68533.872,5442.6,0,5442.6
11/12/2012 07,11/12/2012 12,0.01,76384.018,5759.8,57.58,5759.8
11/12/2012 08,11/12/2012 13,0.02,81571.718,6303.4,126.07,6303.4
11/12/2012 09,11/12/2012 14,0.02,83011.697,6256.5,125.14,6256.5
11/12/2012 10,11/12/2012 15,0.02,83911.117,6252.8,125.07,6252.8
11/12/2012 11,11/12/2012 16,0.02,84907.854,6370.5,127.41,6370.5
11/12/2012 12,11/12/2012 17,0.02,84846.44,6328.6,126.59,6328.6
11/12/2012 13,11/12/2012 18,0.02,84769.409,6328.6,126.57,6328.6
11/12/2012 14,11/12/2012 19,0.01,84770.876,6169.5,61.69,6169.5
